Day,Post_Title,Core_Topic,Learning_Objective,Free_Resource_1,Free_Resource_2,Hands_On_Task,Artifact_To_Publish,Planned_Date,Published_Date,Status,Post_URL,Notes
1,Agentic AI Foundations,Agent Architecture Basics,"Understand observe-reason-act-verify loop and core components",https://ai.pydantic.dev/,https://www.kaggle.com/whitepaper-agents,"Build minimal loop with one tool and typed output","Architecture diagram and first run log",,,Not Started,,
2,Structured Outputs and Contracts,Typed Outputs,"Use strict schema validation for all critical outputs",https://ai.pydantic.dev/examples/,https://dspy.ai/,"Convert one free-text response to strict structured schema","Validation success/failure examples",,,Not Started,,
3,Tool Calling and Data Access,Tool Interfaces,"Design and validate tool arguments and outputs",https://docs.langchain.com/oss/python/langgraph/quickstart,https://github.com/microsoft/autogen,"Implement inspect_schema and run_sql tools","Tool trace screenshot",,,Not Started,,
4,Safe Code Execution,Sandboxing,"Execute generated code safely in isolated runtime",https://docs.docker.com/get-started/,https://huggingface.co/docs/smolagents/main/en/index,"Run pandas code in sandbox and save chart","Chart artifact and blocked unsafe code sample",,,Not Started,,
5,ReAct and Bounded Reasoning,Reasoning Loops,"Implement bounded ReAct with explicit stopping conditions",https://arxiv.org/abs/2210.03629,https://docs.langchain.com/oss/python/langgraph/overview,"Solve multi-step analytics query with max iterations","Step trace with stop reason",,,Not Started,,
6,Memory and Context Management,Session Memory,"Support follow-up queries using memory and context compression",https://ai.pydantic.dev/message-history/,https://docs.langchain.com/oss/python/langgraph/add-memory,"Answer follow-up query based on prior turn","2-turn conversation demo",,,Not Started,,
7,Midpoint Integration Review,Quality Gates,"Run integrated pipeline and document failure classes",https://github.com/promptfoo/promptfoo,https://phoenix.arize.com/,"Execute integration checks and categorize failures","Failure taxonomy and fix priority list",,,Not Started,,
8,Evaluation Framework,Evals and Regression,"Build deterministic and judge-based evaluation harness",https://platform.openai.com/docs/guides/agent-evals,https://www.promptfoo.dev/docs/intro/,"Create 20+ eval cases with thresholds","Baseline scorecard by category",,,Not Started,,
9,Observability and Tracing,Telemetry,"Instrument trace IDs, latency, tokens, retries",https://opentelemetry.io/docs/languages/python/,https://langfuse.com/docs,"Trace one full run and identify bottleneck","Trace screenshot with bottleneck analysis",,,Not Started,,
10,Reliability Patterns,Retry and Circuit Breakers,"Implement retry, backoff, and circuit breaker behavior",https://learn.microsoft.com/azure/architecture/patterns/retry,https://github.com/litl/backoff,"Simulate transient failures and verify recovery","Reliability test logs",,,Not Started,,
11,Safety and Guardrails,AI Security,"Apply input/tool/output safety checks and adversarial tests",https://owasp.org/www-project-top-10-for-large-language-model-applications/,https://www.promptfoo.dev/docs/red-team/quickstart/,"Write adversarial prompts and verify blocking","Safety report with blocked cases",,,Not Started,,
12,API Production Controls,API Reliability,"Add idempotency, rate limiting, and traceable error handling",https://fastapi.tiangolo.com/,https://stripe.com/docs/idempotency,"Test success, replay, and 429 flows","API behavior proof with request logs",,,Not Started,,
13,SOTA Framework Comparison,Framework Tradeoffs,"Compare practical tradeoffs across top open frameworks",https://ai.pydantic.dev/,https://docs.crewai.com/,"Port one workflow to a second framework","Decision matrix with selection criteria",,,Not Started,,
14,Capstone and Publish,Public Learn-Along,"Publish reproducible pipeline and roadmap for next month",https://docs.github.com/pages,https://colab.research.google.com/,"Run full pipeline and publish docs","Public repo page and 30-day roadmap",,,Not Started,,
